Time,Activity
11:30,"Stage crew, organizers, other non technical roles arrive will be done for 10 minuets (11:30)"
11:35,"Stage crew, organizers, other non technical roles arrive will be done for 10 minuets (11:30)"
11:40,"Setting up the stage; Taking safety considerations, ensuring enough seating will be done for 130 minuets (11:40)"
11:45,"Setting up the stage; Taking safety considerations, ensuring enough seating will be done for 130 minuets (11:40)"
11:50,"Setting up the stage; Taking safety considerations, ensuring enough seating will be done for 130 minuets (11:40)"
11:55,"Setting up the stage; Taking safety considerations, ensuring enough seating will be done for 130 minuets (11:40)"
12:00,"Setting up the stage; Taking safety considerations, ensuring enough seating will be done for 130 minuets (11:40)"
12:05,"Setting up the stage; Taking safety considerations, ensuring enough seating will be done for 130 minuets (11:40)"
12:10,"Setting up the stage; Taking safety considerations, ensuring enough seating will be done for 130 minuets (11:40)"
12:15,"Setting up the stage; Taking safety considerations, ensuring enough seating will be done for 130 minuets (11:40)"
12:20,"Setting up the stage; Taking safety considerations, ensuring enough seating will be done for 130 minuets (11:40)"
12:25,"Setting up the stage; Taking safety considerations, ensuring enough seating will be done for 130 minuets (11:40)"
12:30,"Setting up the stage; Taking safety considerations, ensuring enough seating will be done for 130 minuets (11:40)"
12:35,"Setting up the stage; Taking safety considerations, ensuring enough seating will be done for 130 minuets (11:40)"
12:40,"Setting up the stage; Taking safety considerations, ensuring enough seating will be done for 130 minuets (11:40)"
12:45,"Setting up the stage; Taking safety considerations, ensuring enough seating will be done for 130 minuets (11:40)"
12:50,"Setting up the stage; Taking safety considerations, ensuring enough seating will be done for 130 minuets (11:40)"
12:55,"Setting up the stage; Taking safety considerations, ensuring enough seating will be done for 130 minuets (11:40)"
13:00,"Setting up the stage; Taking safety considerations, ensuring enough seating will be done for 130 minuets (11:40)"
13:05,"Setting up the stage; Taking safety considerations, ensuring enough seating will be done for 130 minuets (11:40)"
13:10,"Setting up the stage; Taking safety considerations, ensuring enough seating will be done for 130 minuets (11:40)"
13:15,"Setting up the stage; Taking safety considerations, ensuring enough seating will be done for 130 minuets (11:40)"
13:20,"Setting up the stage; Taking safety considerations, ensuring enough seating will be done for 130 minuets (11:40)"
13:25,"Setting up the stage; Taking safety considerations, ensuring enough seating will be done for 130 minuets (11:40)"
13:30,"Setting up the stage; Taking safety considerations, ensuring enough seating will be done for 130 minuets (11:40)"
13:35,"Setting up the stage; Taking safety considerations, ensuring enough seating will be done for 130 minuets (11:40)"
13:40,"Setting up the stage; Taking safety considerations, ensuring enough seating will be done for 130 minuets (11:40)"
13:45,"Setting up the stage; Taking safety considerations, ensuring enough seating will be done for 130 minuets (11:40)"
13:50,"Technical team arrives to set up audio and other equipment and instruments will be done for 5 minuets (13:50)"
13:55,"Artists with instruments arrive no later than 15.00 will be done for 5 minuets (13:55)"
14:00,"Set up Power, Audio and instruments; Make sure no equipment is vulnerable, avoid stuff we might tripp on. will be done for 115 minuets (14:0)"
14:05,"Set up Power, Audio and instruments; Make sure no equipment is vulnerable, avoid stuff we might tripp on. will be done for 115 minuets (14:0)"
14:10,"Set up Power, Audio and instruments; Make sure no equipment is vulnerable, avoid stuff we might tripp on. will be done for 115 minuets (14:0)"
14:15,"Set up Power, Audio and instruments; Make sure no equipment is vulnerable, avoid stuff we might tripp on. will be done for 115 minuets (14:0)"
14:20,"Set up Power, Audio and instruments; Make sure no equipment is vulnerable, avoid stuff we might tripp on. will be done for 115 minuets (14:0)"
14:25,"Set up Power, Audio and instruments; Make sure no equipment is vulnerable, avoid stuff we might tripp on. will be done for 115 minuets (14:0)"
14:30,"Set up Power, Audio and instruments; Make sure no equipment is vulnerable, avoid stuff we might tripp on. will be done for 115 minuets (14:0)"
14:35,"Set up Power, Audio and instruments; Make sure no equipment is vulnerable, avoid stuff we might tripp on. will be done for 115 minuets (14:0)"
14:40,"Set up Power, Audio and instruments; Make sure no equipment is vulnerable, avoid stuff we might tripp on. will be done for 115 minuets (14:0)"
14:45,"Set up Power, Audio and instruments; Make sure no equipment is vulnerable, avoid stuff we might tripp on. will be done for 115 minuets (14:0)"
14:50,"Set up Power, Audio and instruments; Make sure no equipment is vulnerable, avoid stuff we might tripp on. will be done for 115 minuets (14:0)"
14:55,"Set up Power, Audio and instruments; Make sure no equipment is vulnerable, avoid stuff we might tripp on. will be done for 115 minuets (14:0)"
15:00,"Set up Power, Audio and instruments; Make sure no equipment is vulnerable, avoid stuff we might tripp on. will be done for 115 minuets (14:0)"
15:05,"Set up Power, Audio and instruments; Make sure no equipment is vulnerable, avoid stuff we might tripp on. will be done for 115 minuets (14:0)"
15:10,"Set up Power, Audio and instruments; Make sure no equipment is vulnerable, avoid stuff we might tripp on. will be done for 115 minuets (14:0)"
